,Company Name,Symbol,daily_percent%,yearly %,Industry
77,Punjab National Bank,PNB,3.49,66.67999999999999,FINANCIAL SERVICES
47,Idea Cellular Ltd.,IDEA,3.3300000000000005,63.62,TELECOM
5,Ashok Leyland Ltd.,ASHOKLEY,3.0300000000000002,57.89,AUTOMOBILE
81,Steel Authority of India Ltd.,SAIL,2.93,55.98,METALS
41,Hindustan Petroleum Corporation Ltd.,HINDPETRO,2.83,54.06999999999999,ENERGY
27,Avenue Supermarts Ltd.,DMART,2.75,52.54,CONSUMER GOODS
48,InterGlobe Aviation Ltd.,INDIGO,2.6599999999999997,50.82,SERVICES
89,Tata Motors Ltd.,TATAMOTORS,2.65,50.629999999999995,AUTOMOBILE
12,Bank of Baroda,BANKBARODA,2.64,50.44,FINANCIAL SERVICES
19,Cadila Healthcare Ltd.,CADILAHC,2.62,50.06,PHARMA
40,Hindalco Industries Ltd.,HINDALCO,2.56,48.91,METALS
70,Oil India Ltd.,OIL,2.52,48.14,ENERGY
91,Tata Steel Ltd.,TATASTEEL,2.5100000000000002,47.949999999999996,METALS
97,Vedanta Ltd.,VEDL,2.4899999999999998,47.57,METALS
88,Sun TV Network Ltd.,SUNTV,2.41,46.04,MEDIA & ENTERTAINMENT
64,Motherson Sumi Systems Ltd.,MOTHERSUMI,2.41,46.04,AUTOMOBILE
17,Bharat Petroleum Corporation Ltd.,BPCL,2.37,45.28,ENERGY
11,Bajaj Finance Ltd.,BAJFINANCE,2.27,43.37,FINANCIAL SERVICES
90,Tata Motors Ltd DVR,TATAMTRDVR,2.25,42.99,AUTOMOBILE
46,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,2.2399999999999998,42.8,FINANCIAL SERVICES
73,Petronet LNG Ltd.,PETRONET,2.2399999999999998,42.8,ENERGY
71,Oil & Natural Gas Corporation Ltd.,ONGC,2.2399999999999998,42.8,ENERGY
10,Bajaj Finserv Ltd.,BAJAJFINSV,2.23,42.6,FINANCIAL SERVICES
26,DLF Ltd.,DLF,2.18,41.65,CONSTRUCTION
52,Indian Oil Corporation Ltd.,IOC,2.17,41.46,ENERGY
74,Power Finance Corporation Ltd.,PFC,2.16,41.27,FINANCIAL SERVICES
87,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,2.16,41.27,PHARMA
54,JSW Steel Ltd.,JSWSTEEL,2.15,41.08,METALS
28,Dr. Reddy's Laboratories Ltd.,DRREDDY,2.1,40.12,PHARMA
14,Bharti Airtel Ltd.,BHARTIARTL,2.07,39.550000000000004,TELECOM
99,Yes Bank Ltd.,YESBANK,2.06,39.36,FINANCIAL SERVICES
44,Indiabulls Housing Finance Ltd.,IBULHSGFIN,2.0500000000000003,39.17,FINANCIAL SERVICES
45,ICICI Bank Ltd.,ICICIBANK,2.04,38.97,FINANCIAL SERVICES
63,United Spirits Ltd.,MCDOWELL-N,2.02,38.59,CONSUMER GOODS
8,Axis Bank Ltd.,AXISBANK,2.02,38.59,FINANCIAL SERVICES
56,L&T Finance Holdings Ltd.,L&TFH,2.01,38.4,FINANCIAL SERVICES
83,State Bank of India,SBIN,2.0,38.21,FINANCIAL SERVICES
13,Bharat Electronics Ltd.,BEL,1.9800000000000002,37.830000000000005,INDUSTRIAL MANUFACTURING
36,HCL Technologies Ltd.,HCLTECH,1.96,37.45,IT
31,GAIL (India) Ltd.,GAIL,1.94,37.059999999999995,ENERGY
76,Pidilite Industries Ltd.,PIDILITIND,1.87,35.730000000000004,CHEMICALS
86,Shriram Transport Finance Co. Ltd.,SRTRANSFIN,1.8499999999999999,35.339999999999996,FINANCIAL SERVICES
79,Rural Electrification Corporation Ltd.,RECLTD,1.82,34.77,FINANCIAL SERVICES
35,Havells India Ltd.,HAVELLS,1.81,34.58,CONSUMER GOODS
7,Aurobindo Pharma Ltd.,AUROPHARMA,1.77,33.82,PHARMA
15,Bharat Heavy Electricals Ltd.,BHEL,1.67,31.91,INDUSTRIAL MANUFACTURING
69,Oracle Financial Services Software Ltd.,OFSS,1.67,31.91,IT
4,Ambuja Cements Ltd.,AMBUJACEM,1.6500000000000001,31.52,CEMENT & CEMENT PRODUCTS
24,Cummins India Ltd.,CUMMINSIND,1.6400000000000001,31.330000000000002,INDUSTRIAL MANUFACTURING
